Day,Exercise,Sets,Reps
Monday,Squat,4,8
 ,Leg Press,3,12
 ,Romanian Deadlift,4,6
 ,Leg curl,3,12
 ,Calf Raise,4,8
 ,Seated calf raise,3,10
Tuesday,Bench press,3,12
 ,Row,3,12
 ,Incline bench press,3,10
 ,Lat pulldown,3,12
 ,Tricep pushdown,2,12
 ,Dumbbell curl,2,12
 ,Side Raies,3,12
Thursday,Squat,3,6
 ,Straight-leg Deadlift,3,6
 ,Leg press,3,10
 ,Step-back Lunge,3,12
 ,Calf Raise,4,8
 ,Seated calf raise,3,10
Friday,Bench press,3,6
 ,Row,3,6
 ,Incline bench press,3,10
 ,Lat pulldown,3,10
 ,Tricep pushdown,2,12
 ,Dumbbell curl,2,12
